"","rk","g","date","age","team_code","location","opp","X.1","gs","mp","gmsc","player_gamelog_url","season_type","player_id","season","fg","fga","fg.","X3p","X3pa","X3p.","ft","fta","ft.","orb","drb","trb","ast","stl","blk","tov","pf","pts","home_away","ts.","efg.","orb.","drb.","trb.","ast.","stl.","blk.","tov.","usg.","ortg","drtg","net_rtg","true_shooting"
"34","17","17",2012-01-25,"21-268","IND","@","CHI","W (+5)","1","33:07","6.8","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"6","12",".500","1","3",".333","0","0","",0,3,3,1,0,0,1,2,13,"+7",".542",".542","0.0","9.1","5.1","4.9","0.0","0.0","7.7",18.4,107,107,0,54.2
"38","18","18",2012-01-27,"21-270","IND","@","BOS","L (-7)","1","30:15","16.9","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"4","11",".364","0","3",".000","8","8","1.000",4,5,9,2,2,1,1,1,16,"+10",".551",".364","13.8","19.4","16.4","14.7","3.4","2.3","6.4",22.7,122,94,28,55.1
"42","19","19",2012-01-29,"21-272","IND","@","ORL","W (+21)","1","20:27","5.6","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"2","5",".400","2","3",".667","0","0","",1,6,7,2,0,0,0,4,6,"+3",".600",".600","5.7","40.2","21.6","11.6","0.0","0.0","0.0",11,147,95,52,60
"50","20","20",2012-01-31,"21-274","IND","","NJN","W (+7)","1","32:41","21.9","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"8","11",".727","4","6",".667","4","4","1.000",0,4,4,1,2,1,1,3,24,"+2",".940",".909","0.0","15.1","7.6","5.6","3.1","3.3","7.3",18.7,169,103,66,94
"54","21","21",2012-02-01,"21-275","IND","@","MIN","W (+10)","1","19:22","8.7","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"4","6",".667","1","3",".333","1","2",".500",0,4,4,1,1,2,1,4,10,"+14",".727",".750","0.0","19.4","10.3","8.8","2.4","6.7","12.7",17.6,123,88,35,72.7
"58","22","22",2012-02-03,"21-277","IND","@","DAL","W (+11)","1","41:10","32.6","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"11","19",".579","7","11",".636","1","1","1.000",0,9,9,5,5,1,0,1,30,"+16",".772",".763","0.0","22.8","11.7","24.1","6.5","1.7","0.0",21,165,87,78,77.2
"62","23","23",2012-02-04,"21-278","IND","","ORL","L (-4)","1","36:26","12.4","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"4","12",".333","2","7",".286","3","3","1.000",2,5,7,5,3,2,3,4,13,"-8",".488",".417","5.3","17.3","10.5","27.8","4.3","5.6","18.4",19.9,99,86,13,48.8
"66","24","24",2012-02-07,"21-281","IND","","UTA","W (+5)","1","29:18","11.3","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"5","10",".500","2","6",".333","2","2","1.000",0,5,5,2,3,0,2,4,14,"+10",".643",".600","0.0","21.0","10.2","10.0","5.1","0.0","15.5",20.2,109,95,14,64.3
"69","25","25",2012-02-08,"21-282","IND","@","ATL","L (-10)","1","28:32","-1.6","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"1","8",".125","0","3",".000","3","5",".600",1,2,3,1,2,0,3,4,5,"-13",".245",".125","4.3","8.6","6.5","5.4","3.9","0.0","22.7",22.9,49,109,-60,24.5
"72","26","26",2012-02-10,"21-284","IND","@","MEM","L (-6)","1","34:02","1.4","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"2","13",".154","0","4",".000","4","4","1.000",1,9,10,2,0,1,3,2,8,"-9",".271",".154","2.9","34.3","16.6","10.4","0.0","2.2","16.9",23.1,62,106,-44,27.1
"75","27","27",2012-02-11,"21-285","IND","","DEN","L (-4)","1","34:27","10.6","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"5","9",".556","4","7",".571","1","2",".500",0,6,6,1,1,0,2,3,15,"-9",".759",".778","0.0","21.4","11.9","4.0","1.4","0.0","16.8",15.2,120,114,6,75.9
"78","28","28",2012-02-14,"21-288","IND","","MIA","L (-15)","1","33:44","2.3","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"5","12",".417","0","4",".000","2","4",".500",0,3,3,2,2,0,6,2,12,"-14",".436",".417","0.0","11.5","5.5","11.0","3.0","0.0","30.4",26.8,63,109,-46,43.6
"81","29","29",2012-02-15,"21-289","IND","@","CLE","L (-11)","1","24:58","2.1","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"4","14",".286","1","6",".167","2","6",".333",1,7,8,1,0,0,1,4,11,"-3",".331",".321","3.6","36.4","17.1","7.9","0.0","0.0","5.7",32.3,77,113,-36,33.1
"88","30","30",2012-02-16,"21-290","IND","","NJN","W (+5)","1","37:58","13.8","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"4","8",".500","1","5",".200","2","2","1.000",0,5,5,5,4,2,2,4,11,"0",".619",".563","0.0","18.6","8.0","23.5","5.9","4.4","18.4",13.2,120,92,28,61.9
"91","31","31",2012-02-19,"21-293","IND","","CHA","W (+35)","1","22:05","3.8","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"3","10",".300","1","3",".333","0","0","",1,6,7,1,1,2,1,5,7,"+30",".350",".350","5.3","29.0","17.7","6.7","2.3","7.5","9.1",21.9,83,71,12,35
"94","32","32",2012-02-21,"21-295","IND","","NOH","W (+9)","1","44:12","15.0","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"9","20",".450","2","7",".286","0","0","",3,3,6,6,2,0,3,2,20,"+7",".500",".500","8.2","9.5","8.8","21.7","2.5","0.0","13.0",24.3,108,111,-3,50
"97","33","33",2012-02-22,"21-296","IND","@","CHA","W (+14)","1","18:12","8.0","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"4","7",".571","2","2","1.000","0","0","",2,0,2,0,0,1,0,2,10,"-2",".714",".714","10.5","0.0","5.1","0.0","0.0","3.8","0.0",17.6,165,118,47,71.4
"100","34","34",2012-02-28,"21-302","IND","","GSW","W (+24)","1","26:21","16.8","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"4","7",".571","2","2","1.000","1","2",".500",0,9,9,5,4,1,1,1,11,"+35",".698",".714","0.0","28.8","16.6","30.7","8.0","2.9","11.3",14.4,141,64,77,69.8
"103","35","35",2012-03-03,"21-306","IND","@","NOH","W (+18)","1","23:46","11.2","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"3","10",".300","1","4",".250","4","4","1.000",0,1,1,3,5,0,1,1,11,"+12",".468",".350","0.0","4.2","2.2","20.9","11.4","0.0","7.8",23.8,109,81,28,46.8
"106","36","36",2012-03-05,"21-308","IND","@","CHI","L (-20)","1","33:21","13.1","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"8","17",".471","0","4",".000","5","5","1.000",1,0,1,0,2,1,1,4,21,"-11",".547",".471","2.9","0.0","1.6","0.0","3.4","2.3","5.0",30.4,103,112,-9,54.7
"109","37","37",2012-03-06,"21-309","IND","","ATL","L (-5)","1","32:34","11.5","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"3","11",".273","1","2",".500","4","6",".667",3,3,6,3,3,1,1,0,11,"+3",".403",".318","11.1","10.5","10.8","16.6","5.0","2.3","6.8",21.7,99,108,-9,40.3
"112","38","38",2012-03-10,"21-313","IND","@","MIA","L (-2)","1","32:18","13.2","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"5","9",".556","2","2","1.000","0","0","",2,0,2,3,4,0,0,5,12,"-8",".667",".667","6.3","0.0","3.6","19.9","7.2","0.0","0.0",13.2,153,97,56,66.7
"115","39","39",2012-03-11,"21-314","IND","@","ORL","L (-13)","1","33:26","18.8","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"10","17",".588","1","2",".500","1","1","1.000",2,6,8,1,3,0,1,3,22,"-18",".631",".618","7.4","23.3","15.1","5.8","4.7","0.0","5.4",26.2,126,110,16,63.1
"122","40","40",2012-03-13,"21-316","IND","","POR","W (+17)","1","20:56","10.5","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"5","9",".556","1","2",".500","0","0","",2,3,5,1,3,0,1,3,11,"+14",".611",".611","11.2","14.6","13.0","8.0","7.7","0.0","10.0",22.8,115,73,42,61.1
"125","41","41",2012-03-14,"21-317","IND","","PHI","W (+17)","1","19:25","4.4","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"3","8",".375","2","4",".500","0","1",".000",0,2,2,0,1,0,0,1,8,"+3",".474",".500","0.0","15.0","7.8","0.0","3.0","0.0","0.0",22.5,102,112,-10,47.4
"128","42","42",2012-03-16,"21-319","IND","@","NYK","L (-15)","1","23:59","-0.3","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"2","6",".333","1","4",".250","0","2",".000",0,6,6,0,0,1,2,4,5,"-11",".363",".417","0.0","30.0","14.5","0.0","0.0","3.6","22.5",15.7,54,116,-62,36.3
"131","43","43",2012-03-17,"21-320","IND","","NYK","L (-14)","1","31:34","13.3","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"6","13",".462","2","5",".400","4","5",".800",0,4,4,4,2,2,3,5,18,"0",".592",".538","0.0","14.1","6.9","26.6","3.4","5.7","16.5",26.1,109,106,3,59.2
"134","44","44",2012-03-20,"21-323","IND","","LAC","W (+13)","1","24:26","6.3","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"2","6",".333","1","4",".250","2","2","1.000",1,5,6,3,0,0,0,4,7,"-5",".509",".417","6.0","22.3","15.3","19.0","0.0","0.0","0.0",14.3,139,106,33,50.9
"137","45","45",2012-03-22,"21-325","IND","@","WAS","W (+2)","1","30:05","10.7","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"4","9",".444","1","5",".200","4","4","1.000",0,5,5,3,4,0,4,3,13,"+5",".604",".500","0.0","25.7","10.6","19.4","7.3","0.0","27.1",23,97,87,10,60.4
"140","46","46",2012-03-23,"21-326","IND","","PHO","L (-2)","1","26:43","12.2","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"5","8",".625","0","1",".000","5","6",".833",1,3,4,3,1,1,3,3,15,"+3",".705",".625","5.3","12.8","9.5","16.3","1.9","2.7","22.0",23,122,119,3,70.5
"143","47","47",2012-03-24,"21-327","IND","@","MIL","W (+21)","1","14:27","1.0","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"2","5",".400","0","0","","0","0","",1,4,5,2,0,0,2,4,4,"+10",".400",".400","8.5","28.3","19.3","18.3","0.0","0.0","28.6",20.9,82,110,-28,40
"146","48","48",2012-03-26,"21-329","IND","","MIA","W (+15)","1","37:09","11.9","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"7","14",".500","2","3",".667","0","0","",1,9,10,3,0,0,1,4,16,"+15",".571",".571","3.4","26.4","15.8","13.9","0.0","0.0","6.7",18.1,126,101,25,57.1
"149","49","49",2012-03-28,"21-331","IND","@","NJN","L (-16)","1","30:04","20.5","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"8","13",".615","4","7",".571","2","2","1.000",1,3,4,4,1,2,2,1,22,"-22",".793",".769","3.8","12.0","7.8","28.7","1.8","4.8","12.6",25.4,142,113,29,79.3
"156","50","50",2012-03-29,"21-332","IND","","WAS","W (+4)","1","27:44","4.6","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"3","10",".300","0","1",".000","1","2",".500",0,3,3,3,4,0,2,3,7,"+4",".322",".300","0.0","11.5","6.1","20.1","7.9","0.0","15.5",22.3,67,91,-24,32.2
"159","51","51",2012-03-31,"21-334","IND","@","SAS","L (-9)","1","27:48","14.2","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"8","11",".727","1","3",".333","1","1","1.000",1,4,5,3,1,1,3,5,18,"+3",".787",".773","5.1","18.2","12.0","18.4","1.9","3.0","20.8",24.7,124,121,3,78.7
"162","52","52",2012-04-01,"21-335","IND","@","HOU","W (+2)","1","30:15","6.5","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"3","7",".429","0","3",".000","3","3","1.000",2,5,7,3,0,0,3,2,9,"+5",".541",".429","8.8","15.1","12.5","16.6","0.0","0.0","26.5",18,100,112,-12,54.1
"165","53","53",2012-04-03,"21-337","IND","","NYK","W (+8)","1","29:14","15.1","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"5","12",".417","0","3",".000","8","10",".800",2,6,8,1,3,0,1,4,18,"+8",".549",".417","7.5","21.9","14.8","5.0","5.6","0.0","5.7",26.5,124,106,18,54.9
"168","54","54",2012-04-04,"21-338","IND","@","WAS","W (+13)","1","20:45","10.0","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"4","5",".800","1","2",".500","0","0","",0,3,3,3,1,1,1,2,9,"+10",".900",".900","0.0","18.8","10.5","20.0","2.6","3.5","16.7",14.3,147,103,44,90
"171","55","55",2012-04-06,"21-340","IND","","OKC","W (+5)","1","36:17","4.7","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"3","13",".231","1","3",".333","1","2",".500",3,13,16,1,3,1,3,6,8,"+20",".288",".269","8.4","40.0","23.5","4.3","4.3","2.3","17.8",20.1,68,94,-26,28.8
"174","56","56",2012-04-07,"21-341","IND","","BOS","L (-14)","1","29:17","-1.4","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"0","7",".000","0","4",".000","2","2","1.000",0,6,6,3,0,0,2,1,2,"-8",".127",".000","0.0","22.9","11.1","18.9","0.0","0.0","20.2",16,37,101,-64,12.7
"177","57","57",2012-04-09,"21-343","IND","","TOR","W (+5)","1","29:05","12.3","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"5","9",".556","1","2",".500","4","6",".667",1,5,6,3,0,1,1,4,15,"0",".644",".611","4.1","19.2","11.9","17.8","0.0","3.0","7.9",21.4,131,113,18,64.4
"180","58","58",2012-04-11,"21-345","IND","@","CLE","W (+6)","1","33:50","4.9","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"3","6",".500","0","2",".000","0","0","",0,10,10,3,0,0,2,3,6,"+11",".500",".500","0.0","33.3","18.4","15.0","0.0","0.0","25.0",11.4,88,99,-11,50
"183","59","59",2012-04-13,"21-347","IND","","CLE","W (+19)","1","21:00","-4.7","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"0","6",".000","0","1",".000","0","0","",0,1,1,1,0,1,1,3,0,"+14",".000",".000","0.0","5.2","2.5","6.2","0.0","3.9","14.3",13.9,9,98,-89,0
"190","60","60",2012-04-14,"21-348","IND","@","MIL","W (+6)","1","27:05","10.2","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"2","5",".400","0","2",".000","6","6","1.000",3,4,7,2,1,0,2,2,10,"+12",".654",".400","10.4","15.4","12.8","10.6","1.9","0.0","20.7",15.2,128,107,21,65.4
"193","61","61",2012-04-16,"21-350","IND","","MIN","W (+23)","1","25:07","16.9","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"5","9",".556","2","2","1.000","6","6","1.000",0,5,5,3,1,0,1,1,18,"+25",".773",".667","0.0","17.7","9.3","19.5","2.0","0.0","7.9",22,153,92,61,77.3
"195","62","62",2012-04-17,"21-351","IND","@","PHI","W (+5)","1","27:08","14.6","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"3","5",".600","3","4",".750","0","0","",1,6,7,5,4,1,2,2,9,"-1",".900",".900","3.6","24.7","13.5","27.9","8.1","2.9","28.6",11.6,141,94,47,90
"197","63","63",2012-04-19,"21-353","IND","","MIL","W (+9)","1","23:56","12.5","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"6","11",".545","0","1",".000","2","3",".667",1,2,3,5,3,0,2,4,14,"+17",".568",".545","4.3","8.9","6.5","32.4","6.2","0.0","14.0",25.2,114,105,9,56.8
"199","64","64",2012-04-21,"21-355","IND","","PHI","L (-3)","1","44:10","12.3","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"6","13",".462","3","3","1.000","1","2",".500",1,6,7,3,2,0,2,3,16,"-1",".576",".577","2.6","14.1","8.6","10.3","2.5","0.0","12.6",16.1,115,113,2,57.6
"201","65","65",2012-04-23,"21-357","IND","","DET","W (+6)","1","33:44","25.5","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"6","15",".400","2","7",".286","13","15",".867",1,9,10,4,3,0,1,2,27,"+20",".625",".467","2.9","26.1","14.5","21.5","4.5","0.0","4.4",26.2,148,95,53,62.5
"203","66","66",2012-04-25,"21-359","IND","","CHI","L (-5)","1","28:32","3.6","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2012","RS","georgpa01",2012,"2","12",".167","0","3",".000","3","4",".750",1,5,6,1,2,1,1,0,7,"-9",".254",".167","4.0","23.4","12.9","5.3","3.9","2.6","6.8",25.9,59,99,-40,25.4
"3","1","1",2012-10-31,"22-182","IND","@","TOR","W (+2)","1","35:10","10.0","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2013","RS","georgpa01",2013,"7","15",".467","0","0","","0","0","",2,13,15,5,0,1,5,2,14,"+3",".467",".467","7.6","34.1","23.3","24.9","0.0","1.8","25.0",26.5,83,89,-6,46.7
"47","2","2",2012-11-02,"22-184","IND","@","CHA","L (-1)","1","36:00","7.4","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2013","RS","georgpa01",2013,"4","11",".364","2","5",".400","2","2","1.000",1,6,7,6,1,0,5,3,12,"-4",".505",".455","3.0","16.7","10.0","28.9","1.4","0.0","29.6",20.1,88,97,-9,50.5
"85","3","3",2012-11-03,"22-185","IND","","SAC","W (+8)","1","47:54","15.1","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2013","RS","georgpa01",2013,"6","15",".400","2","7",".286","2","2","1.000",1,16,17,3,2,4,4,3,16,"+7",".504",".467","2.3","31.2","18.1","11.4","2.3","6.1","20.1",18.3,97,81,16,50.4
"119","4","4",2012-11-05,"22-187","IND","@","SAS","L (-22)","1","40:31","6.5","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2013","RS","georgpa01",2013,"5","13",".385","1","3",".333","3","3","1.000",1,2,3,1,1,2,4,2,14,"-20",".489",".423","2.3","5.6","3.8","5.6","1.3","3.4","21.8",20.2,86,116,-30,48.9
"153","5","5",2012-11-07,"22-189","IND","@","ATL","L (-3)","1","39:05","11.1","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2013","RS","georgpa01",2013,"5","13",".385","2","7",".286","1","1","1.000",1,6,7,2,4,1,3,1,13,"+5",".484",".462","2.7","15.7","9.3","8.5","5.4","1.9","18.2",19.4,87,91,-4,48.4
"187","6","6",2012-11-09,"22-191","IND","@","MIN","L (-2)","1","34:57","5.1","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2013","RS","georgpa01",2013,"4","12",".333","2","6",".333","1","2",".500",0,3,3,4,0,0,2,1,11,"-2",".427",".417","0.0","13.3","5.8","17.4","0.0","0.0","13.4",19.6,89,114,-25,42.7
"210","7","7",2012-11-10,"22-192","IND","","WAS","W (+4)","1","36:41","16.6","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2013","RS","georgpa01",2013,"8","12",".667","2","5",".400","2","2","1.000",0,7,7,3,0,0,2,1,20,"+1",".776",".750","0.0","23.5","10.4","16.7","0.0","0.0","13.4",19,138,100,38,77.6
"224","8","8",2012-11-13,"22-195","IND","","TOR","L (-2)","1","41:16","9.5","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2013","RS","georgpa01",2013,"3","14",".214","2","6",".333","4","4","1.000",3,6,9,4,3,0,2,4,12,"+5",".381",".286","6.8","16.2","11.1","22.7","4.2","0.0","11.3",21.1,88,87,1,38.1
"228","9","9",2012-11-14,"22-196","IND","@","MIL","L (-14)","1","30:11","3.3","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2013","RS","georgpa01",2013,"5","17",".294","1","6",".167","1","1","1.000",0,3,3,2,1,1,2,2,12,"-27",".344",".324","0.0","9.4","4.8","14.4","1.7","2.1","10.3",27.4,74,106,-32,34.4
"7","10","10",2012-11-16,"22-198","IND","","DAL","W (+20)","1","26:00","6.2","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2013","RS","georgpa01",2013,"4","11",".364","1","3",".333","2","2","1.000",0,5,5,2,2,0,2,4,11,"+7",".463",".409","0.0","21.0","10.3","11.7","4.0","0.0","14.4",24.5,86,87,-1,46.3
"11","11","11",2012-11-18,"22-200","IND","@","NYK","L (-12)","1","35:51","13.1","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2013","RS","georgpa01",2013,"6","15",".400","4","7",".571","4","4","1.000",1,2,3,3,1,0,2,3,20,"-14",".597",".533","3.2","5.1","4.2","20.1","1.5","0.0","10.7",25.7,111,105,6,59.7
"15","12","12",2012-11-19,"22-201","IND","@","WAS","W (+7)","1","24:13","0.2","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2013","RS","georgpa01",2013,"2","7",".286","1","3",".333","1","2",".500",1,4,5,2,0,0,3,4,6,"-3",".381",".357","6.6","15.2","12.1","13.2","0.0","0.0","27.6",21,70,100,-30,38.1
"19","13","13",2012-11-21,"22-203","IND","","NOH","W (+8)","1","34:06","30.9","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2013","RS","georgpa01",2013,"13","21",".619","9","13",".692","2","3",".667",1,3,4,4,1,0,0,4,37,"+8",".829",".833","3.2","9.7","6.4","31.4","1.7","0.0","0.0",30.9,170,120,50,82.9
"23","14","14",2012-11-23,"22-205","IND","","SAS","L (-7)","1","34:07","7.1","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2013","RS","georgpa01",2013,"6","14",".429","2","2","1.000","1","2",".500",1,3,4,2,0,1,3,2,15,"-18",".504",".500","2.8","11.7","6.5","9.5","0.0","2.1","16.8",22,93,112,-19,50.4
"27","15","15",2012-11-27,"22-209","IND","@","LAL","W (+2)","1","32:40","7.0","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2013","RS","georgpa01",2013,"5","13",".385","2","6",".333","0","2",".000",1,8,9,2,2,0,2,4,12,"+16",".432",".462","2.9","21.4","12.5","13.6","3.0","0.0","12.6",21.6,79,74,5,43.2
"31","16","16",2012-11-30,"22-212","IND","@","SAC","W (+5)","1","32:29","4.4","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2013","RS","georgpa01",2013,"2","11",".182","0","6",".000","0","1",".000",0,4,4,9,2,0,1,2,4,"+11",".175",".182","0.0","15.2","7.1","39.1","3.3","0.0","8.0",18,70,102,-32,17.5
"35","17","17",2012-12-01,"22-213","IND","@","GSW","L (-11)","1","29:09","-2.4","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2013","RS","georgpa01",2013,"0","7",".000","0","5",".000","0","0","",1,4,5,4,0,0,1,3,0,"-6",".000",".000","4.3","16.9","10.7","19.4","0.0","0.0","12.5",13.3,39,118,-79,0
"39","18","18",2012-12-04,"22-216","IND","@","CHI","W (+4)","1","40:57","29.0","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2013","RS","georgpa01",2013,"14","25",".560","1","3",".333","5","5","1.000",4,5,9,2,3,2,2,3,34,"+5",".625",".580","9.6","13.6","11.5","18.6","4.1","3.8","6.8",32.9,126,84,42,62.5
"43","19","19",2012-12-05,"22-217","IND","","POR","W (+7)","1","37:32","16.8","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2013","RS","georgpa01",2013,"7","15",".467","4","9",".444","4","4","1.000",0,8,8,5,1,0,4,1,22,"+4",".656",".600","0.0","24.4","12.3","23.6","1.5","0.0","19.3",26.2,117,106,11,65.6
"51","20","20",2012-12-07,"22-219","IND","","DEN","L (-3)","1","34:55","19.9","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2013","RS","georgpa01",2013,"9","15",".600","4","5",".800","0","1",".000",1,5,6,6,1,2,2,4,22,"+12",".712",".733","3.8","16.0","10.4","38.1","1.5","4.0","11.5",23.5,128,100,28,71.2
"55","21","21",2012-12-09,"22-221","IND","@","OKC","L (-11)","1","39:21","13.2","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2013","RS","georgpa01",2013,"5","15",".333","3","6",".500","4","4","1.000",1,7,8,3,2,0,1,3,17,"0",".507",".433","3.0","25.1","13.2","11.5","2.9","0.0","5.6",22.9,111,117,-6,50.7
"59","22","22",2012-12-12,"22-224","IND","","CLE","W (+15)","1","34:34","19.8","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2013","RS","georgpa01",2013,"10","18",".556","3","5",".600","4","5",".800",1,6,7,3,0,0,2,2,27,"+19",".668",".639","3.5","17.4","11.0","20.7","0.0","0.0","9.0",28.5,128,96,32,66.8
"63","23","23",2012-12-14,"22-226","IND","","PHI","W (+10)","1","39:04","23.0","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2013","RS","georgpa01",2013,"9","17",".529","5","7",".714","5","6",".833",0,6,6,2,1,3,1,4,28,"+19",".713",".676","0.0","17.1","8.8","10.3","1.4","5.3","4.8",24.2,146,92,54,71.3
"67","24","24",2012-12-15,"22-227","IND","@","DET","W (+11)","1","43:36","14.5","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2013","RS","georgpa01",2013,"6","16",".375","1","7",".143","2","4",".500",1,7,8,8,4,1,2,5,15,"+12",".422",".406","3.1","16.1","10.6","31.0","5.1","1.6","10.1",23.6,94,83,11,42.2
"70","25","25",2012-12-18,"22-230","IND","@","MIL","L (-5)","1","37:49","9.9","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2013","RS","georgpa01",2013,"6","15",".400","0","4",".000","4","4","1.000",0,10,10,5,1,1,5,3,16,"-10",".477",".400","0.0","28.2","14.4","26.0","1.3","1.8","23.0",24,91,98,-7,47.7
